Candidate,Incumbent,State,Office,District,Stance,Source,URL,Note,Won or Lost their Race ,Dem or Rep State ,The FiveThirtyEight partisan lean of every state
Daniel Webster,Yes,Florida,Representative,11,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Trump ,7.6
Gus Michael Bilirakis,Yes,Florida,Representative,12,Fully denied,Supreme Court amicus brief,https://www.supremecourt.gov/DocketPDF/22/22O155/163403/20201210153048641_Texas%20v.%20Pennsylvania%20Amicus%20Brief%20of%20106%20Representatives.pdf,,Elected,Trump ,7.6
Anna Paulina Luna,No,Florida,Representative,13,Fully denied,Florida Politics,https://floridapolitics.com/archives/552249-eric-lynn-ad-hits-anna-paula-luna-as-abortion-extremist-2020-denier/,,Elected,Trump ,7.6
James Judge,No,Florida,Representative,14,Raised questions,Email to FiveThirtyEight,,,Not Elected,Trump ,7.6
Laurel Lee,No,Florida,Representative,15,Fully accepted,Bay News 9,https://www.baynews9.com/fl/tampa/news/2021/07/28/there-will-be-no-audits-of-florida-s-election--says-sec--of-state,,Elected,Trump ,7.6
Vern Buchanan,Yes,Florida,Representative,16,Accepted with reservations,"Sarasota Herald-Tribune, congressional roll call",https://www.heraldtribune.com/story/news/politics/2021/01/07/effort-overturn-election-results-divides-florida-republicans/6577080002/,,Elected,Trump ,7.6
Greg Steube,Yes,Florida,Representative,17,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Trump ,7.6
Scott Franklin,Yes,Florida,Representative,18,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Trump ,7.6
Byron Donalds,Yes,Florida,Representative,19,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected ,Trump ,7.6
Drew Montez Clark,No,Florida,Representative,20,Raised questions,Twitter,https://archive.ph/rDigG,,Not Elected,Trump ,7.6
Brian Mast,Yes,Florida,Representative,21,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Trump ,7.6
Dan Franzese,No,Florida,Representative,22,No comment,,,,Not Elected,Trump ,7.6
Joe Budd,No,Florida,Representative,23,Raised questions,South Florida Sun-Sentinel,https://www.sun-sentinel.com/opinion/endorsements/fl-op-endorse-republican-congress-primaries-20220801-doatdgnwtbd5hei6c7cezmj6ri-story.html,,Not Elected,Trump ,7.6
Jesus G. Navarro,No,Florida,Representative,24,Fully denied,Email to FiveThirtyEight,,,Not Elected,Trump ,7.6
Carla Spalding,No,Florida,Representative,25,Raised questions,"South Florida Sun-Sentinel, Facebook",https://www.sun-sentinel.com/opinion/commentary/fl-op-com-carla-spalding-questionnaire-20200622-rgvfw4zdhng47hl2rjrx2ypenq-story.html,,Not Elected,Trump ,7.6
Mario Diaz-Balart,Yes,Florida,Representative,26,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected ,Trump ,7.6
María Elvira Salazar,Yes,Florida,Representative,27,Raised questions,Miami Herald,https://www.miamiherald.com/opinion/editorials/article251868603.html,,Elected ,Trump ,7.6
Carlos A. Gimenez,Yes,Florida,Representative,28,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected ,Trump ,7.6
Ron DeSantis,Yes,Florida,Governor,N/A,Avoided answering,"WFLA-TV (Tampa, Fla.)",https://www.wfla.com/news/politics/desantis-wont-say-if-he-thinks-2020-election-was-stolen/,,Elected ,Trump ,7.6
Ashley Moody,Yes,Florida,Attorney general,N/A,Fully denied,Tallahassee Democrat,https://www.tallahassee.com/story/news/2020/12/09/floridaa-ashley-moody-backs-texas-challenge-election-results/3871989001/,,Elected ,Trump ,7.6
Herschel Junior Walker,No,Georgia,Senator,N/A,Accepted with reservations,Atlanta Journal-Constitution,https://www.ajc.com/politics/politics-blog/herschel-walkers-debate-performance-scores-points-with-supporters/NLEXBRY5KFDHJEU3WICO4P5MNQ/,Previously raised questions,Not Elected,Biden,7.4
"Earl L. ""Buddy"" Carter",Yes,Georgia,Representative,1,Accepted with reservations,"National Public Radio, congressional roll call",https://www.nprillinois.org/politics/2021-02-28/why-republicans-are-moving-to-fix-elections-that-werent-broken,,Elected ,Biden,7.4
Chris West,No,Georgia,Representative,2,Raised questions,Facebook,https://archive.ph/N4P5f,,Not Elected,Biden,7.4
Drew Ferguson,Yes,Georgia,Representative,3,Accepted with reservations,"Supreme Court amicus brief, congressional roll call",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Biden,7.4
Jonathan Chavez,No,Georgia,Representative,4,Accepted with reservations,Email to FiveThirtyEight,,,Not Elected,Biden,7.4
Christian Zimm,No,Georgia,Representative,5,Raised questions,Email to FiveThirtyEight,,,Not Elected,Biden,7.4
Rich McCormick,No,Georgia,Representative,6,Fully denied,PBS,https://www.pbs.org/video/congressional-district-6-r-mbsyqs/,,Elected,Biden,7.4
