Candidate,Incumbent,State,Office,District,Stance,Source,URL,Note,Won or Lost their Race ,Dem or Rep State ,The FiveThirtyEight partisan lean of every state
Greg Abbott,Yes,Texas,Governor,N/A,Raised questions,Reuters,https://www.reuters.com/world/us/texas-governor-defends-upcoming-2020-election-audits-that-trump-demanded-2021-09-26/,,Elected ,Trump ,12
Ken Paxton,Yes,Texas,Attorney general,N/A,Fully denied,Texas Tribune,https://www.texastribune.org/2020/12/08/texas-ken-paxton-election-georgia/,,Elected,Trump ,12
Mike Lee,Yes,Utah,Senator,N/A,Accepted with reservations,Deseret News,https://www.deseret.com/utah/2022/6/10/23161788/mike-lee-2000-mules-raises-significant-questions-2020-election-donald-trump-voter-fraud,,Elected ,Trump ,26.3
Blake D. Moore,Yes,Utah,Representative,1,Accepted with reservations,"Moore press, congressional roll call",https://blakemoore.house.gov/media/press-releases/congressman-moore-statement-electoral-college-certification-vote,,Elected,Trump ,26.3
Chris Stewart,Yes,Utah,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,,Elected ,Trump ,26.3
John Curtis,Yes,Utah,Representative,3,Fully accepted,"Curtis press, congressional roll call",https://curtis.house.gov/press-releases/curtis-on-presidential-race-now-is-the-time-to-heal-the-wounds-and-come-together/,,Elected ,Trump ,26.3
Burgess Owens,Yes,Utah,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,,Elected ,Trump ,26.3
Gerald Malloy,No,Vermont,Senator,N/A,Fully accepted,Vermont Digger,https://vtdigger.org/2022/06/02/christina-nolan-sidesteps-questions-on-trump-in-senate-gop-primary-debate/,,Elected,Biden,-27.5
Liam Madden,No,Vermont,Representative,At-Large,Fully accepted,"WCAX-TV (Burlington, Vt.) ",https://www.wcax.com/2022/06/29/primary-preview-meet-republicans-running-us-house/,,Not Elected,Biden,-27.5
Phil Scott,Yes,Vermont,Governor,N/A,Fully accepted,"Vermont Digger, Politico",https://vtdigger.org/2020/11/27/scott-trump-bruised-confidence-in-integrity-of-elections/,,Elected ,Biden,-27.5
Mike Tagliavia,No,Vermont,Attorney general,N/A,No comment,,,,Not Elected,Biden,-27.5
H. Brooke Paige,No,Vermont,Secretary of state,N/A,Fully denied,Facebook,https://archive.ph/vw01k,,Not Elected,Biden,-27.5
Rob J. Wittman,Yes,Virginia,Representative,1,Accepted with reservations,"Twitter, congressional roll call",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected ,Biden,-4.6
Jen A. Kiggans,No,Virginia,Representative,2,Accepted with reservations,"Washington Post, campaign spokesman",https://www.washingtonpost.com/dc-md-va/2022/03/30/virginia-2nd-district-kiggans-bell/,Previously raised questions,Elected ,Biden,-4.6
Terry T. Namkung,No,Virginia,Representative,3,No comment,,,,Not Elected,Biden,-4.6
Leon Benjamin Sr.,No,Virginia,Representative,4,Fully denied,"WVEC (Hampton, Va.), email to FiveThirtyEight",https://www.13newsnow.com/article/news/politics/elections/donald-mceachin-debate-leon-benjamin-election-fraud-claims/291-db527bc4-4530-4038-bb11-a7a5894188b3,,Not Elected,Biden,-4.6
Bob Good,Yes,Virginia,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,,Elected ,Biden,-4.6
Ben L. Cline,Yes,Virginia,Representative,6,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Biden,-4.6
Yesli I. Vega,No,Virginia,Representative,7,Accepted with reservations,Virginia Public Media,https://vpm.org/news/articles/32981/gop-congressional-primaries-in-virginia-clouded-by-2020-election,,Not Elected,Biden,-4.6
Karina Lipsman,No,Virginia,Representative,8,Accepted with reservations,Campaign website,https://archive.ph/wip/38McH,,Not Elected,Biden,-4.6
H. Morgan Griffith,Yes,Virginia,Representative,9,Accepted with reservations,"Griffith press, congressional roll call",https://morgangriffith.house.gov/news/documentsingle.aspx?DocumentID=402422,,Elected ,Biden,-4.6
Hung Cao,No,Virginia,Representative,10,Accepted with reservations,"YouTube, email to FiveThirtyEight",https://youtu.be/xVx_gLptPRM?t=1549,Previously raised questions,Not Elected,Biden,-4.6
Jim Myles,No,Virginia,Representative,11,No comment,,,,Not Elected,Biden,-4.6
Tiffany Smiley,No,Washington,Senator,N/A,Accepted with reservations,"Seattle Times, campaign website",https://www.seattletimes.com/seattle-news/politics/tiffany-smiley-says-patty-murrays-30-years-in-senate-is-enough-murray-says-smiley-would-be-vote-for-mitch-mcconnell/,,Not Elected,Biden,-12.4
Vincent J. Cavaleri,No,Washington,Representative,1,No comment,,,,Not Elected,Biden,-12.4
Dan Matthews,No,Washington,Representative,2,No comment,,,,Not Elected,Biden,-12.4
Joe Kent,No,Washington,Representative,3,Fully denied,"CNN, Washington Post",https://www.cnn.com/2021/07/16/politics/impeachment-republicans-house-reelection/index.html,,Not Elected,Biden,-12.4
Dan Newhouse,Yes,Washington,Representative,4,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202117,,Elected,Biden,-12.4
Cathy McMorris Rodgers,Yes,Washington,Representative,5,Accepted with reservations,"McMorris Rodgers press, congressional roll call",https://mcmorris.house.gov/posts/mcmorris-rodgers-statement-on-electoral-college-vote,,Elected ,Biden,-12.4
Elizabeth Kreiselmaier,No,Washington,Representative,6,Avoided answering,Kitsap Sun,https://www.kitsapsun.com/story/news/2022/07/15/election-2022-primary-candidates-6th-district-congress/7782095001/,,Not Elected,Biden,-12.4
Cliff Moon,No,Washington,Representative,7,No comment,,,,Not Elected,Biden,-12.4
Matt Larkin,No,Washington,Representative,8,Fully accepted,Email To FiveThirtyEight,,,Not Elected,Biden,-12.4
Doug Basler,No,Washington,Representative,9,Fully denied,Seattle Times,https://www.seattletimes.com/seattle-news/politics/washington-election-integrity-group-and-lawyer-fined-for-meritless-vote-fraud-lawsuit/,,Not Elected,Biden,-12.4
Keith R. Swank,No,Washington,Representative,10,Fully denied,Twitter,https://archive.ph/HOyiM,,Not Elected,Biden,-12.4
Carol Miller,Yes,West Virginia,Representative,1,Fully denied,"Miller op-ed, congressional roll call ",https://s3.amazonaws.com/wvmetro-uploads-prod/2021/01/CarolMiller-ObjectionStatement.pdf,,Elected,Trump ,35.5
Alexander X. Mooney,Yes,West Virginia,Representative,2,Fully denied,"Twitter, congressional roll call",https://archive.ph/eO66z,,Elected,Trump ,35.5
Ron Johnson,Yes,Wisconsin,Senator,N/A,Fully denied,Politico,https://www.politico.com/news/2022/06/21/jan-6-panel-trump-overturn-2020-election-00040816,,Elected,Biden,4.1
Bryan Steil,Yes,Wisconsin,Representative,1,Fully accepted,"WKOW (Madison, Wis.), congressional roll call",https://www.wkow.com/news/will-you-tell-this-gentleman-who-won-the-election-2020-election-looms-over-steil-town/article_673df23a-a969-11ec-b535-6fb21e539da3.html,,Elected ,Biden,4.1
Erik Olsen,No,Wisconsin,Representative,2,No comment,,,,Not Elected,Biden,4.1
Derrick Van Orden,No,Wisconsin,Representative,3,Fully denied,Axios,https://www.axios.com/2022/08/10/wisconsin-primaries-derrick-van-orden-trump,,Elected,Biden,4.1
Tim Rogers,No,Wisconsin,Representative,4,No comment,,,,Not Elected,Biden,4.1
Scott Fitzgerald,Yes,Wisconsin,Representative,5,Fully denied,"Congressional roll call, WisPolitics",https://www.wispolitics.com/2022/sen-larson-open-records-regarding-wisconsins-fake-electors-suggest-congressman-scott-fitzgerald-played-significant-role-in-trying-to-overturn-a-free-and-fair-election/,,Elected ,Biden,4.1
Glenn Grothman,Yes,Wisconsin,Representative,6,Accepted with reservations,"Grothman press, congressional roll call",https://archive.ph/F8j8q#selection-187.107-195.28,,Elected ,Biden,4.1
Tom Tiffany,Yes,Wisconsin,Representative,7,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected ,Biden,4.1
Mike Gallagher,Yes,Wisconsin,Representative,8,Accepted with reservations,"Gallagher press, congressional roll call",https://archive.ph/5T8lp,,Elected ,Biden,4.1
Tim Michels,No,Wisconsin,Governor,N/A,Raised questions,"WDJT-TV (Milwaukee, Wis.)",https://www.cbs58.com/news/michels-unsure-if-2020-election-was-stolen-says-hes-focused-on-2022-after-winning-trump-endorsement,,Not Elected,Biden,4.1
Eric Toney,No,Wisconsin,Attorney general,N/A,Accepted with reservations,Email to FiveThirtyEight,,,Not Elected,Biden,4.1
Amy Lynn Loudenbeck,No,Wisconsin,Secretary of state,N/A,Accepted with reservations,NBC,https://www.nbcnews.com/politics/2022-election/candidates-say-trump-won-2020now-running-oversee-future-elections-rcna26241,,Not Elected,Biden,4.1
Harriet Hageman,No,Wyoming,Representative,At-Large,Fully denied,Casper Star-Tribune,https://trib.com/news/state-and-regional/hageman-says-2020-election-was-rigged/article_01a1e786-13f1-11ed-b6fc-d32f25c31359.html,,Elected,Trump ,49.7
Mark Gordon,Yes,Wyoming,Governor,N/A,No comment,,,,Elected ,Trump ,49.7
Chuck Gray,No,Wyoming,Secretary of state,N/A,Fully denied,Bolts,https://boltsmag.org/wyoming-first-election-denier-secretary-of-state/,,Elected ,Trump ,49.7
